leakage_group,image_count,split,datasets,unified_classes,has_exact_duplicate,has_near_duplicate
GROUP_00001,1,train,realwaste,Metal,False,False
GROUP_00002,1,val,realwaste,Metal,False,False
GROUP_00003,1,train,phenomsg,Residual,False,False
GROUP_00004,1,test,trashnet,Glass,False,False
GROUP_00005,1,train,realwaste,Plastic,False,False
GROUP_00006,1,train,realwaste,Food Organics,False,False
GROUP_00007,1,train,realwaste,Metal,False,False
GROUP_00008,1,test,trashnet,Cardboard,False,False
GROUP_00009,1,train,trashnet,Paper,False,False
GROUP_00010,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00011,1,test,realwaste,Residual,False,False
GROUP_00012,1,val,phenomsg,Hazardous Waste,False,False
GROUP_00013,1,test,realwaste,Glass,False,False
GROUP_00014,1,test,realwaste,Textile,False,False
GROUP_00015,1,train,trashnet,Cardboard,False,False
GROUP_00016,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00017,1,train,trashnet,Paper,False,False
GROUP_00018,1,test,ewaste,Electronic Device,False,False
GROUP_00019,1,val,trashnet,Glass,False,False
GROUP_00020,1,val,phenomsg,Residual,False,False
GROUP_00021,1,train,trashnet,Glass,False,False
GROUP_00022,1,train,phenomsg,Residual,False,False
GROUP_00023,1,train,realwaste,Cardboard,False,False
GROUP_00024,4,train,realwaste,Metal|Plastic,False,True
GROUP_00025,1,val,trashnet,Metal,False,False
GROUP_00026,1,train,trashnet,Paper,False,False
GROUP_00027,1,val,realwaste,Paper,False,False
GROUP_00028,1,train,realwaste,Metal,False,False
GROUP_00029,1,test,trashnet,Paper,False,False
GROUP_00030,1,train,trashnet,Paper,False,False
GROUP_00031,1,train,ewaste,Battery,False,False
GROUP_00032,1,test,realwaste,Metal,False,False
GROUP_00033,1,train,realwaste,Residual,False,False
GROUP_00034,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00035,1,train,trashnet,Plastic,False,False
GROUP_00036,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00037,1,train,realwaste,Glass,False,False
GROUP_00038,1,val,realwaste,Residual,False,False
GROUP_00039,1,test,ewaste,Large Electronic Appliance,False,False
GROUP_00040,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00041,1,val,phenomsg,Residual,False,False
GROUP_00042,1,train,realwaste,Vegetation,False,False
GROUP_00043,1,test,trashnet,Glass,False,False
GROUP_00044,1,train,realwaste,Metal,False,False
GROUP_00045,1,train,ewaste,Electronic Device,False,False
GROUP_00046,1,val,phenomsg,Organic Stream,False,False
GROUP_00047,1,train,phenomsg,Organic Stream,False,False
GROUP_00048,1,train,realwaste,Residual,False,False
GROUP_00049,1,val,trashnet,Plastic,False,False
GROUP_00050,1,train,realwaste,Residual,False,False
GROUP_00051,1,test,ewaste,Electronic Device,False,False
GROUP_00052,1,train,realwaste,Glass,False,False
GROUP_00053,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00054,1,train,realwaste,Paper,False,False
GROUP_00055,1,train,trashnet,Cardboard,False,False
GROUP_00056,1,test,trashnet,Plastic,False,False
GROUP_00057,1,train,realwaste,Metal,False,False
