category,metric,value
dataset,total_images,13196
dataset,number_of_classes,16
split,train,9237
split,val,1980
split,test,1979
leakage,total_groups,12686
leakage,groups_multiple_images,461
leakage,grouped_images,971
leakage,cross_split_groups,0
duplicates,exact_duplicate_images,644
duplicates,exact_duplicate_groups,320
duplicates,near_duplicate_images,971
duplicates,near_duplicate_pairs_or_groups,546
label_conflicts,conflicting_groups,35
files,images_expected,13196
files,images_found,13196
files,images_missing,0
retention,original_manifest_images,13196
retention,curated_images,13196
retention,images_excluded,0
retention,retention_rate_percent,100.0
validation,required_columns,True
validation,missing_required_values,True
validation,duplicate_paths,True
validation,cross_split_leakage,True
validation,missing_images,True
validation,all_classes_train,True
validation,all_classes_val,True
validation,all_classes_test,True
validation,overall_integrity,True
validation,label_conflicts_warning,True
