dataset,dimension,image_count
trashnet,3264x2448,364
trashnet,4032x3024,2163
realwaste,524x524,4752
phenomsg,1000x1000,30
phenomsg,1000x1080,7
phenomsg,1000x1278,1
phenomsg,1000x1333,1
phenomsg,1000x1500,5
phenomsg,1000x1579,1
phenomsg,1000x1667,1
phenomsg,1000x295,1
phenomsg,1000x402,1
phenomsg,1000x441,1
phenomsg,1000x444,1
phenomsg,1000x450,1
phenomsg,1000x497,1
phenomsg,1000x500,4
phenomsg,1000x523,1
phenomsg,1000x550,1
phenomsg,1000x561,1
phenomsg,1000x562,3
phenomsg,1000x563,2
phenomsg,1000x575,1
phenomsg,1000x600,4
phenomsg,1000x609,1
phenomsg,1000x635,1
phenomsg,1000x650,2
phenomsg,1000x655,1
phenomsg,1000x661,1
phenomsg,1000x662,3
phenomsg,1000x664,3
phenomsg,1000x665,2
phenomsg,1000x666,2
phenomsg,1000x667,21
phenomsg,1000x668,1
phenomsg,1000x675,2
phenomsg,1000x687,1
phenomsg,1000x691,1
phenomsg,1000x700,1
phenomsg,1000x713,1
phenomsg,1000x714,1
phenomsg,1000x719,1
phenomsg,1000x720,1
phenomsg,1000x739,1
phenomsg,1000x750,9
phenomsg,1000x763,1
phenomsg,1000x780,3
phenomsg,1000x785,2
phenomsg,1000x800,1
phenomsg,1000x862,1
phenomsg,1000x878,1
phenomsg,1000x898,1
phenomsg,1000x902,1
phenomsg,1000x905,1
phenomsg,1000x923,1
phenomsg,1000x968,1
phenomsg,1000x983,1
phenomsg,1001x1001,2
phenomsg,1001x1600,5
phenomsg,1002x1600,1
phenomsg,1004x590,1
phenomsg,1008x512,1
phenomsg,1010x720,1
phenomsg,1020x608,1
phenomsg,1023x1023,1
phenomsg,1023x680,1
phenomsg,1023x682,2
phenomsg,1024x1024,7
phenomsg,1024x1280,1
phenomsg,1024x267,1
phenomsg,1024x341,3
phenomsg,1024x368,1
phenomsg,1024x384,1
phenomsg,1024x436,1
phenomsg,1024x438,1
phenomsg,1024x448,1
phenomsg,1024x458,1
phenomsg,1024x485,1
phenomsg,1024x500,1
phenomsg,1024x506,1
phenomsg,1024x512,13
phenomsg,1024x517,2
phenomsg,1024x532,1
phenomsg,1024x536,4
phenomsg,1024x537,1
phenomsg,1024x538,1
phenomsg,1024x555,1
phenomsg,1024x558,1
phenomsg,1024x570,2
phenomsg,1024x573,1
phenomsg,1024x575,1
phenomsg,1024x576,5
phenomsg,1024x595,1
phenomsg,1024x597,1
phenomsg,1024x600,3
phenomsg,1024x601,2
phenomsg,1024x614,2
phenomsg,1024x621,2
phenomsg,1024x623,1
phenomsg,1024x640,3
phenomsg,1024x657,2
phenomsg,1024x666,2
phenomsg,1024x668,1
phenomsg,1024x678,1
phenomsg,1024x680,1
phenomsg,1024x681,1
phenomsg,1024x682,7
phenomsg,1024x683,12
phenomsg,1024x684,1
phenomsg,1024x697,1
phenomsg,1024x700,1
phenomsg,1024x705,1
phenomsg,1024x739,1
phenomsg,1024x760,1
phenomsg,1024x768,15
phenomsg,1024x818,1
phenomsg,1024x835,1
phenomsg,1024x962,1
phenomsg,1025x625,6
phenomsg,1026x770,1
phenomsg,1035x1600,2
phenomsg,1039x1390,1
phenomsg,1040x1040,1
phenomsg,1040x280,1
phenomsg,1040x780,1
phenomsg,1043x552,1
phenomsg,1044x1390,1
phenomsg,1046x604,2
phenomsg,1050x699,2
phenomsg,1050x700,2
phenomsg,1050x788,1
phenomsg,1052x526,1
phenomsg,1060x700,1
phenomsg,1062x1390,1
phenomsg,1064x665,1
phenomsg,1067x1690,1
phenomsg,1070x490,1
phenomsg,1072x1608,1
phenomsg,1074x1080,2
phenomsg,1080x1080,14
phenomsg,1080x1207,1
phenomsg,1080x1239,1
phenomsg,1080x1440,2
phenomsg,1080x1476,1
phenomsg,1080x1920,1
phenomsg,1080x2065,1
phenomsg,1080x675,2
phenomsg,1080x700,1
phenomsg,1080x737,1
phenomsg,1080x790,1
phenomsg,1080x810,1
phenomsg,1088x332,1
phenomsg,1089x574,1
phenomsg,1093x1300,1
phenomsg,1100x1100,1
phenomsg,1100x1396,1
