duplicate_group,sha256,dataset,file,absolute_path
1,2f8fe861f62a477208d3a60223b3ae60bb7be9ef13335efaed278ba1aaa41c68,trashnet,glass\glass115.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\glass\glass115.jpg
1,2f8fe861f62a477208d3a60223b3ae60bb7be9ef13335efaed278ba1aaa41c68,trashnet,metal\metal91.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\metal\metal91.jpg
2,bd0bd41019a16f85d51a8901b246ff7861f6ae467f8a2e211af6aaed3cabd430,trashnet,glass\glass176.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\glass\glass176.jpg
2,bd0bd41019a16f85d51a8901b246ff7861f6ae467f8a2e211af6aaed3cabd430,trashnet,plastic\plastic152.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic152.jpg
3,107d33542ed03e023d51643bfc0d99087f452804429ff365faa82d11350aa82d,trashnet,glass\glass389.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\glass\glass389.jpg
3,107d33542ed03e023d51643bfc0d99087f452804429ff365faa82d11350aa82d,trashnet,plastic\plastic332.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic332.jpg
4,58939430ae50c656d5853e8e9277f7899e1e14c0413e4123367d60eaa96cb45b,phenomsg,Hazardous\Hazardous\e-waste\-1x-1 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\-1x-1 - Copy.jpg
4,58939430ae50c656d5853e8e9277f7899e1e14c0413e4123367d60eaa96cb45b,phenomsg,Hazardous\Hazardous\e-waste\-1x-1.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\-1x-1.jpg
5,ee48117a691782d45ac11eee91bcc122d2f3830fdc546d9dd974644da46e6689,phenomsg,Hazardous\Hazardous\e-waste\-august-heap-of-broken-smartphone-screen-e-waste-electronic-waste-1100705909 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\-august-heap-of-broken-smartphone-screen-e-waste-electronic-waste-1100705909 - Copy.jpg
5,ee48117a691782d45ac11eee91bcc122d2f3830fdc546d9dd974644da46e6689,phenomsg,Hazardous\Hazardous\e-waste\-august-heap-of-broken-smartphone-screen-e-waste-electronic-waste-1100705909.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\-august-heap-of-broken-smartphone-screen-e-waste-electronic-waste-1100705909.jpg
