dataset,label,split,path,width,height,aspect_ratio,format,mode,mean_brightness,blur_score,status,issues
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_177.jpg,150,150,1.0,JPEG,RGB,238.27,54.44,WARNING,very_bright
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_284.jpg,150,150,1.0,JPEG,RGB,242.82,31.51,WARNING,very_bright | possible_blur
ewaste,Player,test,data\raw\ewaste\test\Player\Player_106.jpg,150,150,1.0,JPEG,RGB,238.05,1004.28,WARNING,very_bright
ewaste,Washing Machine,test,data\raw\ewaste\test\Washing Machine\Washing_Machine_264.jpg,150,150,1.0,JPEG,RGB,235.85,70.74,WARNING,very_bright
ewaste,Washing Machine,test,data\raw\ewaste\test\Washing Machine\Washing_Machine_4.jpg,150,150,1.0,JPEG,RGB,238.67,98.15,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_1.jpg,150,150,1.0,JPEG,RGB,239.81,2049.91,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_100.jpg,150,150,1.0,JPEG,RGB,240.69,676.83,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_125.jpg,150,150,1.0,JPEG,RGB,243.95,206.85,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_172.jpg,150,150,1.0,JPEG,RGB,240.1,593.67,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_178.jpg,150,150,1.0,JPEG,RGB,235.73,1323.91,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_184.jpg,150,150,1.0,JPEG,RGB,243.71,1756.4,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_195.jpg,150,150,1.0,JPEG,RGB,238.58,2318.29,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_202.jpg,150,150,1.0,JPEG,RGB,236.72,518.75,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_246.jpg,150,150,1.0,JPEG,RGB,237.04,1331.15,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_26.jpg,150,150,1.0,JPEG,RGB,236.72,1265.44,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_263.jpg,150,150,1.0,JPEG,RGB,240.47,714.11,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_292.jpg,150,150,1.0,JPEG,RGB,238.52,596.28,WARNING,very_bright
ewaste,Battery,train,data\raw\ewaste\train\Battery\battery_296.jpg,150,150,1.0,JPEG,RGB,246.04,1096.13,WARNING,very_bright
ewaste,Keyboard,train,data\raw\ewaste\train\Keyboard\Keyboard_10.jpg,150,150,1.0,JPEG,RGB,235.16,127.35,WARNING,very_bright
ewaste,Keyboard,train,data\raw\ewaste\train\Keyboard\Keyboard_107.jpg,150,150,1.0,JPEG,RGB,126.8,26.02,WARNING,possible_blur
ewaste,Keyboard,train,data\raw\ewaste\train\Keyboard\Keyboard_121.jpg,150,150,1.0,JPEG,RGB,5.86,19.09,WARNING,very_dark | possible_blur
