dataset,label,split,path,width,height,aspect_ratio,format,mode,mean_brightness,blur_score,status,issues
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_106.jpg,150,150,1.0,JPEG,RGB,179.49,700.02,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_128.jpg,150,150,1.0,JPEG,RGB,196.97,671.95,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_148.jpg,150,150,1.0,JPEG,RGB,206.39,228.9,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_152.jpg,150,150,1.0,JPEG,RGB,214.69,776.34,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_174.jpg,150,150,1.0,JPEG,RGB,159.49,3019.09,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_177.jpg,150,150,1.0,JPEG,RGB,152.58,899.6,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_190.jpg,150,150,1.0,JPEG,RGB,202.47,5530.76,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_192.jpg,150,150,1.0,JPEG,RGB,180.5,694.03,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_211.jpg,150,150,1.0,JPEG,RGB,190.56,1759.48,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_22.jpg,150,150,1.0,JPEG,RGB,196.24,1151.54,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_24.jpg,150,150,1.0,JPEG,RGB,162.83,1811.74,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_241.jpg,150,150,1.0,JPEG,RGB,233.47,658.61,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_242.jpg,150,150,1.0,JPEG,RGB,148.47,1236.28,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_251.jpg,150,150,1.0,JPEG,RGB,218.92,886.56,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_259.jpg,150,150,1.0,JPEG,RGB,228.36,1037.63,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_260.jpg,150,150,1.0,JPEG,RGB,226.63,540.48,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_264.jpg,150,150,1.0,JPEG,RGB,188.16,2636.24,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_266.jpg,150,150,1.0,JPEG,RGB,223.4,1424.86,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_267.jpg,150,150,1.0,JPEG,RGB,173.13,2208.49,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_275.jpg,150,150,1.0,JPEG,RGB,165.64,1885.67,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_279.jpg,150,150,1.0,JPEG,RGB,219.58,2605.64,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_282.jpg,150,150,1.0,JPEG,RGB,140.18,1664.9,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_284.jpg,150,150,1.0,JPEG,RGB,209.62,768.34,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_294.jpg,150,150,1.0,JPEG,RGB,188.36,2920.69,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_4.jpg,150,150,1.0,JPEG,RGB,229.35,913.05,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_40.jpg,150,150,1.0,JPEG,RGB,181.17,1445.85,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_61.jpg,150,150,1.0,JPEG,RGB,117.52,3232.78,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_75.jpg,150,150,1.0,JPEG,RGB,220.99,1138.39,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_83.jpg,150,150,1.0,JPEG,RGB,115.28,497.31,OK,
ewaste,Battery,test,data\raw\ewaste\test\Battery\battery_92.jpg,150,150,1.0,JPEG,RGB,234.36,808.18,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_106.jpg,150,150,1.0,JPEG,RGB,170.13,278.13,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_128.jpg,150,150,1.0,JPEG,RGB,81.53,125.93,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_148.jpg,150,150,1.0,JPEG,RGB,116.6,277.33,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_152.jpg,150,150,1.0,JPEG,RGB,90.66,76.75,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_174.jpg,150,150,1.0,JPEG,RGB,217.0,111.83,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_177.jpg,150,150,1.0,JPEG,RGB,238.27,54.44,WARNING,very_bright
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_190.jpg,150,150,1.0,JPEG,RGB,64.26,273.47,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_192.jpg,150,150,1.0,JPEG,RGB,195.59,139.96,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_211.jpg,150,150,1.0,JPEG,RGB,151.14,293.73,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_22.jpg,150,150,1.0,JPEG,RGB,91.52,2652.31,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_24.jpg,150,150,1.0,JPEG,RGB,91.04,960.18,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_241.jpg,150,150,1.0,JPEG,RGB,208.81,240.4,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_242.jpg,150,150,1.0,JPEG,RGB,191.1,193.55,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_251.jpg,150,150,1.0,JPEG,RGB,175.45,387.06,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_259.jpg,150,150,1.0,JPEG,RGB,198.79,164.63,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_260.jpg,150,150,1.0,JPEG,RGB,52.5,222.07,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_264.jpg,150,150,1.0,JPEG,RGB,214.72,108.91,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_266.jpg,150,150,1.0,JPEG,RGB,184.95,143.38,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_267.jpg,150,150,1.0,JPEG,RGB,174.3,277.48,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_275.jpg,150,150,1.0,JPEG,RGB,36.6,95.45,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_279.jpg,150,150,1.0,JPEG,RGB,45.21,165.36,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_282.jpg,150,150,1.0,JPEG,RGB,92.06,296.79,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_284.jpg,150,150,1.0,JPEG,RGB,242.82,31.51,WARNING,very_bright | possible_blur
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_294.jpg,150,150,1.0,JPEG,RGB,210.14,99.48,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_4.jpg,150,150,1.0,JPEG,RGB,68.27,380.52,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_40.jpg,150,150,1.0,JPEG,RGB,125.89,159.88,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_61.jpg,150,150,1.0,JPEG,RGB,105.54,1379.32,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_75.jpg,150,150,1.0,JPEG,RGB,122.29,311.33,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_83.jpg,150,150,1.0,JPEG,RGB,92.9,217.62,OK,
ewaste,Keyboard,test,data\raw\ewaste\test\Keyboard\Keyboard_92.jpg,150,150,1.0,JPEG,RGB,95.07,195.73,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_106.jpg,150,150,1.0,JPEG,RGB,128.8,1634.31,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_128.jpg,150,150,1.0,JPEG,RGB,135.81,127.91,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_148.jpg,150,150,1.0,JPEG,RGB,124.28,1129.46,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_152.jpg,150,150,1.0,JPEG,RGB,95.97,2240.43,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_174.jpg,150,150,1.0,JPEG,RGB,123.12,1705.17,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_177.jpg,150,150,1.0,JPEG,RGB,135.8,934.41,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_190.jpg,150,150,1.0,JPEG,RGB,160.07,2661.14,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_192.jpg,150,150,1.0,JPEG,RGB,149.84,1469.56,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_211.jpg,150,150,1.0,JPEG,RGB,145.24,1186.26,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_22.jpg,150,150,1.0,JPEG,RGB,66.86,145.69,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_24.jpg,150,150,1.0,JPEG,RGB,176.85,62.12,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_241.jpg,150,150,1.0,JPEG,RGB,115.11,324.76,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_242.jpg,150,150,1.0,JPEG,RGB,221.81,59.23,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_251.jpg,150,150,1.0,JPEG,RGB,165.46,186.86,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_259.jpg,150,150,1.0,JPEG,RGB,198.25,297.19,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_260.jpg,150,150,1.0,JPEG,RGB,134.54,101.03,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_264.jpg,150,150,1.0,JPEG,RGB,120.92,97.13,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_266.jpg,150,150,1.0,JPEG,RGB,163.16,173.69,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_267.jpg,150,150,1.0,JPEG,RGB,83.82,93.63,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_275.jpg,150,150,1.0,JPEG,RGB,121.58,66.74,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_279.jpg,150,150,1.0,JPEG,RGB,164.37,231.17,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_282.jpg,150,150,1.0,JPEG,RGB,156.32,223.74,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_284.jpg,150,150,1.0,JPEG,RGB,108.32,143.23,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_294.jpg,150,150,1.0,JPEG,RGB,166.15,56.07,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_4.jpg,150,150,1.0,JPEG,RGB,169.03,131.82,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_40.jpg,150,150,1.0,JPEG,RGB,96.91,240.76,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_61.jpg,150,150,1.0,JPEG,RGB,109.4,268.88,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_75.jpg,150,150,1.0,JPEG,RGB,191.96,1332.79,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_83.jpg,150,150,1.0,JPEG,RGB,155.95,152.95,OK,
ewaste,Microwave,test,data\raw\ewaste\test\Microwave\Microwave_92.jpg,150,150,1.0,JPEG,RGB,204.15,851.23,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_106.jpg,150,150,1.0,JPEG,RGB,143.04,489.35,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_128.jpg,150,150,1.0,JPEG,RGB,149.25,287.49,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_148.jpg,150,150,1.0,JPEG,RGB,93.04,2154.26,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_152.jpg,150,150,1.0,JPEG,RGB,119.12,727.72,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_174.jpg,150,150,1.0,JPEG,RGB,138.65,749.98,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_177.jpg,150,150,1.0,JPEG,RGB,122.14,1125.81,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_190.jpg,150,150,1.0,JPEG,RGB,86.68,1460.12,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_192.jpg,150,150,1.0,JPEG,RGB,92.06,1454.45,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_211.jpg,150,150,1.0,JPEG,RGB,114.39,555.42,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_22.jpg,150,150,1.0,JPEG,RGB,130.07,754.52,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_24.jpg,150,150,1.0,JPEG,RGB,143.21,751.49,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_241.jpg,150,150,1.0,JPEG,RGB,67.52,83.37,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_242.jpg,150,150,1.0,JPEG,RGB,109.34,487.26,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_251.jpg,150,150,1.0,JPEG,RGB,80.05,1674.13,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_259.jpg,150,150,1.0,JPEG,RGB,42.74,496.42,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_260.jpg,150,150,1.0,JPEG,RGB,42.96,484.45,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_264.jpg,150,150,1.0,JPEG,RGB,112.44,1188.46,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_266.jpg,150,150,1.0,JPEG,RGB,58.06,1287.63,OK,
ewaste,Mobile,test,data\raw\ewaste\test\Mobile\Mobile_267.jpg,150,150,1.0,JPEG,RGB,115.45,733.42,OK,
