hamming_distance,dataset_a,file_a,path_a,dataset_b,file_b,path_b
10,realwaste,Plastic\Plastic_319.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_319.jpg,realwaste,Plastic\Plastic_808.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_808.jpg
8,realwaste,Metal\Metal_562.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_562.jpg,realwaste,Miscellaneous Trash\Miscellaneous Trash_71.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_71.jpg
10,realwaste,Metal\Metal_608.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_608.jpg,realwaste,Miscellaneous Trash\Miscellaneous Trash_119.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_119.jpg
8,realwaste,Cardboard\Cardboard_83.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Cardboard\Cardboard_83.jpg,realwaste,Metal\Metal_608.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_608.jpg
8,realwaste,Cardboard\Cardboard_324.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Cardboard\Cardboard_324.jpg,realwaste,Plastic\Plastic_834.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_834.jpg
10,realwaste,Textile Trash\Textile Trash_219.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Textile Trash\Textile Trash_219.jpg,realwaste,Textile Trash\Textile Trash_294.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Textile Trash\Textile Trash_294.jpg
10,realwaste,Metal\Metal_522.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_522.jpg,realwaste,Plastic\Plastic_784.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_784.jpg
10,ewaste,train\Microwave\Microwave_48.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Microwave\Microwave_48.jpg,realwaste,Paper\Paper_42.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Paper\Paper_42.jpg
10,realwaste,Metal\Metal_524.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_524.jpg,realwaste,Plastic\Plastic_888.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_888.jpg
10,realwaste,Glass\Glass_327.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Glass\Glass_327.jpg,realwaste,Vegetation\Vegetation_168.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Vegetation\Vegetation_168.jpg
10,realwaste,Cardboard\Cardboard_227.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Cardboard\Cardboard_227.jpg,realwaste,Metal\Metal_129.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_129.jpg
10,ewaste,train\Battery\battery_270.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Battery\battery_270.jpg,trashnet,glass\glass215.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\glass\glass215.jpg
8,ewaste,train\Washing Machine\Washing_Machine_19.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Washing Machine\Washing_Machine_19.jpg,trashnet,plastic\plastic11.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic11.jpg
8,realwaste,Metal\Metal_755.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_755.jpg,realwaste,Plastic\Plastic_230.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_230.jpg
10,trashnet,metal\metal360.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\metal\metal360.jpg,trashnet,plastic\plastic41.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic41.jpg
10,ewaste,train\Printer\Printer_244.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Printer\Printer_244.jpg,realwaste,Metal\Metal_285.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_285.jpg
10,realwaste,Glass\Glass_52.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Glass\Glass_52.jpg,realwaste,Miscellaneous Trash\Miscellaneous Trash_102.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_102.jpg
8,realwaste,Metal\Metal_594.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_594.jpg,realwaste,Miscellaneous Trash\Miscellaneous Trash_129.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_129.jpg
10,ewaste,val\Washing Machine\Washing_Machine_118.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\val\Washing Machine\Washing_Machine_118.jpg,phenomsg,Recyclable\Recyclable\cans_all_type\2ed03c267a9e46d6a00350f7d01a56f1.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Recyclable\Recyclable\cans_all_type\2ed03c267a9e46d6a00350f7d01a56f1.jpg
8,realwaste,Metal\Metal_587.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_587.jpg,realwaste,Plastic\Plastic_192.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_192.jpg
10,ewaste,test\Washing Machine\Washing_Machine_152.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\test\Washing Machine\Washing_Machine_152.jpg,realwaste,Plastic\Plastic_216.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_216.jpg
10,realwaste,Metal\Metal_680.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_680.jpg,realwaste,Metal\Metal_681.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_681.jpg
10,realwaste,Metal\Metal_209.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_209.jpg,realwaste,Plastic\Plastic_364.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_364.jpg
8,realwaste,Metal\Metal_207.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_207.jpg,realwaste,Metal\Metal_260.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_260.jpg
10,trashnet,plastic\plastic440.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic440.jpg,trashnet,plastic\plastic57.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic57.jpg
8,trashnet,glass\glass281.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\glass\glass281.jpg,trashnet,trash\trash133.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\trash\trash133.jpg
10,trashnet,metal\metal204.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\metal\metal204.jpg,trashnet,plastic\plastic122.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic122.jpg
8,realwaste,Food Organics\Food Organics_104.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Food Organics\Food Organics_104.jpg,realwaste,Metal\Metal_326.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_326.jpg
10,trashnet,plastic\plastic249.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic249.jpg,trashnet,plastic\plastic41.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic41.jpg
8,realwaste,Food Organics\Food Organics_301.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Food Organics\Food Organics_301.jpg,realwaste,Metal\Metal_753.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_753.jpg
8,realwaste,Metal\Metal_681.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_681.jpg,realwaste,Plastic\Plastic_179.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_179.jpg
10,realwaste,Miscellaneous Trash\Miscellaneous Trash_491.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_491.jpg,realwaste,Paper\Paper_91.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Paper\Paper_91.jpg
8,phenomsg,Non-Recyclable\Non-Recyclable\ceramic_product\30322484-clay-pottery-ceramics-in-background-broken-glass-debris-design-wall.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Non-Recyclable\Non-Recyclable\ceramic_product\30322484-clay-pottery-ceramics-in-background-broken-glass-debris-design-wall.jpg,phenomsg,Non-Recyclable\Non-Recyclable\ceramic_product\handmade-old-clay-pottery-ceramics-picture_csp21200013.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Non-Recyclable\Non-Recyclable\ceramic_product\handmade-old-clay-pottery-ceramics-picture_csp21200013.jpg
10,realwaste,Cardboard\Cardboard_172.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Cardboard\Cardboard_172.jpg,realwaste,Metal\Metal_622.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_622.jpg
8,realwaste,Plastic\Plastic_360.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_360.jpg,trashnet,trash\trash132.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\trash\trash132.jpg
10,realwaste,Metal\Metal_164.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_164.jpg,realwaste,Textile Trash\Textile Trash_109.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Textile Trash\Textile Trash_109.jpg
8,ewaste,train\Player\Player_45.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Player\Player_45.jpg,realwaste,Metal\Metal_467.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_467.jpg
10,realwaste,Metal\Metal_562.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_562.jpg,realwaste,Metal\Metal_677.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_677.jpg
8,ewaste,train\Player\Player_70.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Player\Player_70.jpg,realwaste,Metal\Metal_467.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_467.jpg
