hamming_distance,dataset_a,file_a,path_a,dataset_b,file_b,path_b
0,phenomsg,Hazardous\Hazardous\e-waste\computer-electronic-waste-29637446 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\computer-electronic-waste-29637446 - Copy.jpg,phenomsg,Hazardous\Hazardous\e-waste\computer-electronic-waste-29637446.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\computer-electronic-waste-29637446.jpg
0,phenomsg,Hazardous\Hazardous\e-waste\disposing-lightbulbs-batteries - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\disposing-lightbulbs-batteries - Copy.jpg,phenomsg,Hazardous\Hazardous\e-waste\disposing-lightbulbs-batteries.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\disposing-lightbulbs-batteries.jpg
2,trashnet,paper\paper185.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\paper\paper185.jpg,trashnet,paper\paper390.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\paper\paper390.jpg
0,phenomsg,Hazardous\Hazardous\e-waste\reciclaje-industrial-portada - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\reciclaje-industrial-portada - Copy.jpg,phenomsg,Hazardous\Hazardous\e-waste\reciclaje-industrial-portada.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\reciclaje-industrial-portada.jpg
0,phenomsg,Hazardous\Hazardous\e-waste\how-to-dispose-of-light-bulbs-section-4 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\how-to-dispose-of-light-bulbs-section-4 - Copy.jpg,phenomsg,Hazardous\Hazardous\e-waste\how-to-dispose-of-light-bulbs-section-4.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\how-to-dispose-of-light-bulbs-section-4.jpg
0,phenomsg,Hazardous\Hazardous\e-waste\0.40042800_1555498967_e-waste2.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\0.40042800_1555498967_e-waste2.jpg,phenomsg,Hazardous\Hazardous\e-waste\e-waste22.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\e-waste22.jpg
0,ewaste,train\PCB\pcb_171.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\PCB\pcb_171.jpg,ewaste,train\PCB\pcb_86.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\PCB\pcb_86.jpg
0,phenomsg,Hazardous\Hazardous\e-waste\bulbs_lg - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\bulbs_lg - Copy.jpg,phenomsg,Hazardous\Hazardous\e-waste\bulbs_lg.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\bulbs_lg.jpg
0,phenomsg,Non-Recyclable\Non-Recyclable\ceramic_product\09928-cover-opener.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Non-Recyclable\Non-Recyclable\ceramic_product\09928-cover-opener.jpg,phenomsg,Recyclable\Recyclable\glass_containers\09928-cover-opener.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Recyclable\Recyclable\glass_containers\09928-cover-opener.jpg
0,ewaste,train\Player\Player_151.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Player\Player_151.jpg,ewaste,train\Player\Player_202.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Player\Player_202.jpg
