sha256,dataset,label,split,path
a0874c6f96aea52014bb71079c4fc393b20fbc1c8b23d7679d12c3ca9434bd7d,,,test,test\Printer\Printer_61.jpg
a0874c6f96aea52014bb71079c4fc393b20fbc1c8b23d7679d12c3ca9434bd7d,,,train,train\Printer\Printer_62.jpg
2ac0770439732e5642c1f8efadb28296a4c6e25c312366f040078c767af4535e,,,test,test\Television\Television_294.jpg
2ac0770439732e5642c1f8efadb28296a4c6e25c312366f040078c767af4535e,,,train,train\Television\Television_283.jpg
c6113b04ef73311aa2c3e00ec6fa4ea4fe96c7134374310a20cde45d018ac82e,,,train,train\Mouse\Mouse_187.jpg
c6113b04ef73311aa2c3e00ec6fa4ea4fe96c7134374310a20cde45d018ac82e,,,val,val\Mouse\Mouse_147.jpg
71ef457b5d404017a2c73fa3628507640ac6383760e4663a0a295942934be99f,,,train,train\Mouse\Mouse_193.jpg
71ef457b5d404017a2c73fa3628507640ac6383760e4663a0a295942934be99f,,,val,val\Mouse\Mouse_150.jpg
7e4b855d4753ec1ee03c45a100ed00c1f496e02d42ca825b66e7aec01542e3d8,,,train,train\Mouse\Mouse_213.jpg
7e4b855d4753ec1ee03c45a100ed00c1f496e02d42ca825b66e7aec01542e3d8,,,val,val\Mouse\Mouse_189.jpg
d4dbf10ce4c280ea759c29dd162f69c76cfeb9e0dd25cb19e1916985158af643,,,train,train\Player\Player_72.jpg
d4dbf10ce4c280ea759c29dd162f69c76cfeb9e0dd25cb19e1916985158af643,,,val,val\Player\Player_105.jpg
14e1b800f0be7c70a023478bba1f41c9444191849c2e5db9395317787dd0b754,,,train,train\Television\Television_270.jpg
14e1b800f0be7c70a023478bba1f41c9444191849c2e5db9395317787dd0b754,,,val,val\Television\Television_247.jpg
