dataset,original_class,split,image_count,relative_path
ewaste,Battery,test,1,ewaste\test\Battery\battery_106.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_128.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_148.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_152.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_174.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_177.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_190.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_192.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_211.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_22.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_24.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_241.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_242.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_251.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_259.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_260.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_264.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_266.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_267.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_275.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_279.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_282.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_284.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_294.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_4.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_40.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_61.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_75.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_83.jpg
ewaste,Battery,test,1,ewaste\test\Battery\battery_92.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_106.jpg
