,precision,recall,f1-score,support
Battery,0.9555555555555556,0.9555555555555556,0.9555555555555556,45.0
Cardboard,0.9140625,0.8796992481203008,0.896551724137931,133.0
Electronic Component,1.0,0.972972972972973,0.9863013698630136,37.0
Electronic Device,0.979253112033195,0.9915966386554622,0.9853862212943633,238.0
Food Organics,0.9701492537313433,0.9558823529411765,0.9629629629629629,68.0
Glass,0.9251700680272109,0.9645390070921985,0.9444444444444444,141.0
Hazardous Waste,0.5882352941176471,0.7272727272727273,0.6504065040650406,55.0
Large Electronic Appliance,0.9863945578231292,0.9863945578231292,0.9863945578231292,147.0
Metal,0.9257425742574258,0.9257425742574258,0.9257425742574258,202.0
Organic Stream,0.9150943396226415,0.782258064516129,0.8434782608695652,124.0
Paper,0.8833333333333333,0.9085714285714286,0.895774647887324,175.0
Plastic,0.8878504672897196,0.892018779342723,0.8899297423887588,213.0
Recyclable Stream,0.8,0.8085106382978723,0.8042328042328042,94.0
Residual,0.7108433734939759,0.686046511627907,0.6982248520710059,172.0
Textile,0.8888888888888888,0.875,0.8818897637795275,64.0
Vegetation,0.9459459459459459,0.9859154929577465,0.9655172413793104,71.0
accuracy,0.8948964123294593,0.8948964123294593,0.8948964123294593,0.8948964123294593
macro avg,0.8922824540075007,0.8936235343752972,0.8920495766882601,1979.0
weighted avg,0.896456753641842,0.8948964123294593,0.8950323833076761,1979.0
